City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,goure,13.9835,10.2704,31.96,36,100,2.56,NE,1689879763
1,blackmans bay,-43.0167,147.3167,4.74,89,12,2.75,AU,1689879763
2,bethel,41.3712,-73.414,30.41,61,40,2.57,US,1689879764
3,port mathurin,-19.6833,63.4167,23.28,72,5,8.81,MU,1689879641
4,san patricio,28.017,-97.5169,37.87,41,5,7.29,US,1689879765
5,ribeira grande,38.5167,-28.7,23.22,88,20,2.06,PT,1689879765
6,porto novo,6.4965,2.6036,26.9,83,90,4.38,BJ,1689879646
7,adamstown,-25.066,-130.1015,22.46,82,100,17.12,PN,1689879766
8,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,1.0,RU,1689879767
9,port isabel,26.0734,-97.2086,36.02,52,20,7.2,US,1689879378
10,save,8.0425,2.486,24.8,90,77,2.67,BJ,1689879768
11,port-aux-francais,-49.35,70.2167,1.84,64,77,16.5,TF,1689879769
12,port lincoln,-34.7333,135.8667,10.28,68,8,3.21,AU,1689879769
13,west island,-12.1568,96.8225,24.99,73,40,6.17,CC,1689879770
14,enewetak,11.3474,162.3373,28.5,77,91,4.77,MH,1689879770
15,san antonio de pale,-1.4014,5.6325,23.78,82,88,5.33,GQ,1689879485
16,college,64.8569,-147.8028,17.55,95,100,0.0,US,1689879771
17,arraial do cabo,-22.9661,-42.0278,21.92,64,40,6.69,BR,1689879503
18,hithadhoo,-0.6,73.0833,28.26,75,21,8.69,MV,1689879772
19,tazovsky,67.4667,78.7,16.13,80,33,3.5,RU,1689879612
20,iskateley,67.6803,53.1512,11.74,89,100,6.28,RU,1689879773
21,ushuaia,-54.8,-68.3,-0.19,93,100,2.57,AR,1689879773
22,albany,42.6001,-73.9662,30.45,44,17,0.45,US,1689879774
23,bredasdorp,-34.5322,20.0403,8.59,79,0,4.73,ZA,1689879774
24,wailua homesteads,22.0669,-159.378,26.24,81,47,2.24,US,1689879775
25,george town,5.4112,100.3354,27.97,85,20,1.54,MY,1689879137
26,uturoa,-16.7333,-151.4333,24.68,63,17,8.17,PF,1689879776
27,laguna,38.421,-121.4238,35.1,39,0,2.06,US,1689879776
28,nova vicosa,-17.8919,-39.3719,22.6,85,100,7.34,BR,1689879776
29,watertown,42.3709,-71.1828,30.82,51,59,3.58,US,1689879537
30,puerto natales,-51.7236,-72.4875,1.62,98,100,3.32,CL,1689879777
31,waitangi,-43.9535,-176.5597,9.59,72,96,9.27,NZ,1689879778
32,sanctuary point,-35.1114,150.629,13.51,57,84,4.41,AU,1689879778
33,kaa-khem,51.6833,94.7333,19.63,42,99,2.68,RU,1689879779
34,avarua,-21.2078,-159.775,21.03,60,40,0.51,CK,1689879682
35,vila velha,-20.3297,-40.2925,23.97,81,75,5.14,BR,1689879536
36,namsos,64.4662,11.4957,13.95,77,100,1.54,NO,1689879780
37,pangai,-19.8,-174.35,21.06,83,100,8.23,TO,1689879781
38,happy valley-goose bay,53.3168,-60.3315,23.17,46,75,5.66,CA,1689879548
39,pacific grove,36.6177,-121.9166,23.45,92,75,3.13,US,1689879607
40,edinburgh of the seven seas,-37.0676,-12.3116,11.79,57,18,10.25,SH,1689879593
41,holualoa,19.6228,-155.9522,26.42,84,40,4.12,US,1689879782
42,manaure,11.7751,-72.4445,34.26,45,38,10.41,CO,1689879783
43,talnakh,69.4865,88.3972,16.23,96,45,3.2,RU,1689879783
44,blackwater,-23.5833,148.8833,16.14,71,93,2.53,AU,1689879784
45,crane,31.3974,-102.3501,36.73,21,100,7.8,US,1689879622
46,atafu village,-8.5421,-172.5159,28.24,77,21,5.38,TK,1689879504
47,anadyr,64.75,177.4833,11.28,93,100,3.0,RU,1689879564
48,chonchi,-42.6128,-73.8092,13.4,77,20,4.66,CL,1689879788
49,dungarvan,52.0881,-7.6253,16.98,76,71,2.68,IE,1689879789
50,umea,63.8284,20.2597,17.96,72,50,1.54,SE,1689879748
51,longyearbyen,78.2186,15.6401,10.91,76,20,8.75,SJ,1689879793
